accession,species,region
MT366726,Sarcoscypha coccinea,Chile
MT374025,Sarcoscypha austriaca,Iowa
MT374024,Sarcoscypha austriaca,Iowa
U66010,Sarcoscypha austriaca,Norway
U66011,Sarcoscypha austriaca,USA
U66012,Sarcoscypha austriaca,Slovakia
AP1927,Sarcoscypha austriaca,Kharkiv
AP1932,Sarcoscypha austriaca,Kharkiv
AP1924,Sarcoscypha austriaca,Kharkiv
AP1926,Sarcoscypha austriaca,Kharkiv
AP1928,Sarcoscypha austriaca,Kharkiv
AP1929,Sarcoscypha austriaca,Kharkiv
AP1930,Sarcoscypha austriaca,Kharkiv
AP1931,Sarcoscypha austriaca,Kharkiv
AP1925,Sarcoscypha austriaca,Kharkiv
AP1933,Sarcoscypha coccinea,Georgia
MZ227236,Sarcoscypha coccinea,Chernivci
MZ227232,Sarcoscypha austriaca,Kyiv
MZ227233,Sarcoscypha austriaca,Lviv
MZ227235,Sarcoscypha austriaca,Kyiv
MZ227237,Sarcoscypha austriaca,Chernivci
MZ227231,Sarcoscypha austriaca,Chernihiv
MZ227234,Sarcoscypha austriaca,Ivano_Frankivsk
AF117352,Nanoscypha tetraspora,Puerto Rico
AF026310,Nanoscypha tetraspora,Puerto Rico